"ID","EndTime","Sex","Is.English.your.primary.language.","Ethnic.group","Other.ethnic.group","Age..Range.in.years.","What.is.your.religion.","Other.religion","Do.you.consider.yourself.to.have.a.disability..If.yes..please.select.from.the.options.which.best.describes.your.disability...br...Please.note..The.information.you.provide.here.may.not.be.shared.with.the.organisation.that.asked.you.to.take.the.test..If.you.wish.them.to.be.aware.of.your.disability.you.should.contact.them.directly.","Country.of.birth","Other.country.of.birth","PD_Education","PD_JobTitle","PD_Occupation","PD_Reason","PD_Tenure","TimeTaken","wgcta.d.theta.score","wgcta.e.theta.score","wgcta.norm.group","wgcta.other.num.answered","wgcta.other.s1.num.answered","wgcta.other.s1.raw.score","wgcta.other.s2.num.answered","wgcta.other.s2.raw.score","wgcta.other.s3.num.answered","wgcta.other.s3.raw.score","wgcta.other.s4.num.answered","wgcta.other.s4.raw.score","wgcta.other.s5.num.answered","wgcta.other.s5.raw.score","wgcta.percentile","wgcta.r.theta.score","wgcta.raw.score","wgcta.retest.completion.status","wgcta.retest.status","wgcta.retest.surveyuser.id","wgcta.t.score","wgcta.theta.score","wgcta.verification.theta"
458,"2011-11-07 15:39:53","Female","Yes","White - British","","25-29 years","Christian (including Church of England, Catholic, Protestant and all other Christian denominations)","","No","United Kingdom","","BA","Marketing Manager","Marketing Professional","As an applicant for a job outside of my current organisation","3 to 4 years",1800,-1.06663,-1.92094,"UK General Population",28,5,3,12,11,5,1,6,4,0,0,18,1.06745,19,,,,41,-0.76906,
46239,"2014-12-17 18:06:51","Male","","Black or Black British - African","","30-34 years","Muslim","","No","","","Master Degree","housing officer","Other","As an applicant for a job outside of my current organisation","Prefer not to say",1510,-0.80294,-1.18798,"UK General Population",40,5,2,12,5,5,3,6,2,12,1,1,-1.4289,13,,,,25,-1.51099,
17223,"2013-03-10 12:22:43","Prefer not to say","Prefer not to say","Prefer not to say","","Prefer not to say","Prefer not to say","","Prefer not to say","United Kingdom","","LLB","Policy Adviser","Prefer not to say","As an applicant for a job outside of my current organisation","Prefer not to say",1800,0.37388,0.74435,"UK General Population",40,5,4,12,8,5,3,6,5,12,10,73,-0.02493,30,,,,56,0.34816,
43545,"2014-11-14 18:15:42","Female","Yes","White - British","","25-29 years","No religion","","No","United Kingdom","","Higher Education Certificate or Diploma","dental nurse","Medical Professional","As an applicant for a job outside of my current organisation","11 to 15 years",632,-1.18079,-1.30309,"UK General Population",40,5,2,12,2,5,3,6,3,12,2,1,-1.9514,12,,,,25,-2.07425,
38968,"2014-11-21 15:13:17","Male","Yes","White - British","","50-54 years","Christian (including Church of England, Catholic, Protestant and all other Christian denominations)","","Prefer not to say","United Kingdom","","A-Level Scottish Highers or equivalent","Programme Director - Exit Checks","Other","As an applicant for a job in my current organisation","26 years or more",1800,0.88507,0.36088,"Senior Management",40,5,3,12,9,5,5,6,4,12,9,66,0.33938,30,,,,55,0.71114,
49166,"2016-02-05 14:30:36","Female","Yes","Asian or Asian British - Indian","","25-29 years","Hindu","","No","India","","Master Degree","Analyst","Other","As an applicant for a job outside of my current organisation","1 to 2 years",1270,0.36835,0.16421,"UK General Population",40,5,2,12,9,5,5,6,5,12,7,79,0.64795,28,,,,58,0.5942,
47370,"2015-02-10 06:47:58","Male","","White - Any other White Background","British  / South African","40-44 years","No religion","","","","","LLB","Advocate","Legal Professional","As an applicant for a job outside of my current organisation","8 to 10 years",1431,-0.96178,-1.15673,"Managers",37,5,2,12,9,4,3,4,2,12,6,17,0.21222,22,,,,41,-0.72028,
30166,"2014-02-16 15:57:15","Male","Yes","White - British","","40-44 years","Christian (including Church of England, Catholic, Protestant and all other Christian denominations)","","","United Kingdom","","LLB","Associate","Legal Professional","As an applicant for a job outside of my current organisation","3 to 4 years",1320,0.81467,-0.07753,"Managers",40,5,4,12,8,5,4,6,6,12,5,60,-0.00802,27,,,,53,0.3316,
12606,"2013-12-24 16:01:44","Male","Yes","White - British","","20-24 years","Jewish","","No","United Kingdom","","BA","student","Student","As an applicant for a job outside of my current organisation","Less than 1 year",1791,1.09093,0.53639,"UK General Population",40,5,3,12,11,5,5,6,6,12,8,93,0.74273,33,,,,65,1.12307,
50785,"2015-08-13 11:53:18","Male","No","Asian or Asian British - Indian","","40-44 years","Christian (including Church of England, Catholic, Protestant and all other Christian denominations)","","No","India","","BSc","Assistant Vice President (Infrastructure Sr Tech Analyst)","Information Technology Professional","For professional development","11 to 15 years",1724,-1.99658,-0.56684,"Private Sector Managers",40,5,0,12,8,5,2,6,2,12,6,4,-0.46496,18,,,,29,-1.48604,
54577,"2015-11-29 15:28:54","Male","Yes","Mixed - Any other Mixed Background","White/asian/african","35-39 years","No religion","","No","South Africa","","Master Degree","Associate Solicitor","Legal Professional","As an applicant for a job outside of my current organisation","1 to 2 years",1800,0.96341,1.85296,"Managers",40,5,4,12,6,5,5,6,4,12,11,53,-0.61952,30,,,,51,0.16354,
25180,"2014-12-17 17:03:19","Male","Yes","Asian or Asian British - Any other Asian Background","Arab","16-19 years","Muslim","","No","Syria","","GCSE or equivalent","Student","Student","As an applicant for a job outside of my current organisation","1 to 2 years",997,0.99307,0.08347,"Graduates",40,5,4,12,9,5,4,6,6,12,7,49,-0.48872,30,,,,50,0.09382,
18331,"2013-05-30 12:36:38","Female","Yes","Black or Black British - Caribbean","","35-39 years","Christian (including Church of England, Catholic, Protestant and all other Christian denominations)","","No","United Kingdom","","BSc","IT Administrator","Administrative/Clerical","As an applicant for a job in my current organisation","5 to 7 years",1781,0.14379,-1.00447,"UK General Population",40,5,5,12,7,5,2,6,3,12,2,16,-1.04998,19,,,,40,-0.86123,
47312,"2015-02-07 17:05:43","Prefer not to say","Yes","Prefer not to say","","Prefer not to say","Prefer not to say","","Prefer not to say","United Kingdom","","A-Level Scottish Highers or equivalent","Student","Student","As an applicant for a job outside of my current organisation","3 to 4 years",1727,-0.21667,1.10998,"Graduates",40,5,4,12,10,5,3,6,4,12,10,80,0.99375,31,,,,58,0.89224,
55588,"2016-03-20 19:00:02","Male","No","Other ethnic group, please specify below","Cypriot","20-24 years","Prefer not to say","","No","Cyprus","","BSc","student","Student","As an applicant for a job outside of my current organisation","3 to 4 years",1800,-1.83056,0.07411,"UK General Population",40,5,0,12,10,5,2,6,1,12,7,21,0.67034,20,,,,42,-0.70378,
3344,"2014-11-26 10:30:43","Female","Yes","White - British","","20-24 years","Christian (including Church of England, Catholic, Protestant and all other Christian denominations)","","No","United Kingdom","","A-Level Scottish Highers or equivalent","Student","Student","As an applicant for a job outside of my current organisation","1 to 2 years",1645,1.02231,0.50747,"Hogan Lovells Graduates",40,5,4,12,10,5,4,6,5,12,8,59,0.34474,31,,,,52,0.89132,
29212,"2014-02-03 10:02:17","Female","Yes","White - British","","50-54 years","Prefer not to say","","No","United Kingdom","","BA","Legal process unit manager","Legal Professional","As an applicant for a job outside of my current organisation","21 to 25 years",1800,0.09805,-1.1928,"Managers",40,5,3,12,8,5,4,6,5,12,2,29,0.21054,22,,,,45,-0.41389,
3976,"2015-04-11 18:15:14","Female","Yes","Asian or Asian British - Chinese","","16-19 years","Christian (including Church of England, Catholic, Protestant and all other Christian denominations)","","No","Hong Kong","","A-Level Scottish Highers or equivalent","Student","Student","As an applicant for a job outside of my current organisation","16 to 20 years",1311,0.07572,0.70354,"Hogan Lovells Graduates",40,5,3,12,11,5,4,6,3,12,10,59,0.95777,31,,,,52,0.86488,
15455,"2013-03-04 22:46:36","Male","Yes","White - British","","30-34 years","No religion","","No","Wales","","Other","dentist","Medical Professional","As an applicant for a job outside of my current organisation","8 to 10 years",1805,0.30547,-0.39146,"UK General Population",40,5,3,12,11,5,2,6,5,12,6,76,1.18231,27,,,,57,0.48904,
16590,"2013-04-12 16:45:16","Female","Yes","White - British","","35-39 years","Christian (including Church of England, Catholic, Protestant and all other Christian denominations)","","No","United Kingdom","","BA","Solicitor","Legal Professional","As an applicant for a job outside of my current organisation","11 to 15 years",1647,1.56097,0.70163,"UK General Population",40,5,4,12,11,5,4,6,6,12,9,98,0.68108,34,,,,69,1.38691,
31697,"2014-04-21 19:09:11","Female","Yes","White - British","","30-34 years","Christian (including Church of England, Catholic, Protestant and all other Christian denominations)","","No","Afghanistan","","GCSE or equivalent","Senior Dental Nurse","Medical Professional","As an applicant for a job outside of my current organisation","5 to 7 years",1800,-0.68133,-1.75499,"UK General Population",28,5,2,12,4,5,1,6,5,0,0,1,-1.57771,12,,,,25,-2.02481,
25935,"2015-02-11 21:21:57","Female","Prefer not to say","White - Any other White Background","","25-29 years","Christian (including Church of England, Catholic, Protestant and all other Christian denominations)","","No","Lithuania","","Prefer not to say","Analyst","Student","As an applicant for a job outside of my current organisation","Prefer not to say",1692,1.08661,0.117,"Graduates",40,5,4,12,10,5,5,6,4,12,8,84,0.87981,31,,,,59,0.99472,
22866,"2014-04-07 18:08:45","Male","Yes","White - British","","16-19 years","No religion","","No","United Kingdom","","A-Level Scottish Highers or equivalent","Student","Student","As an applicant for a job outside of my current organisation","Less than 1 year",1690,0.14682,-0.56629,"Bank of England Graduate & Internship Applicants 2013",40,5,2,12,8,5,5,6,4,12,6,27,-0.13648,25,,,,44,-0.21927,
7315,"2012-05-08 17:54:56","Male","Yes","White - British","","45-49 years","No religion","","No","United Kingdom","","GCSE equivalent","Probate Advisor (Applied for)","Consultant","As an applicant for a job outside of my current organisation","16 to 20 years",1505,-0.25492,-1.21598,"UK General Population",40,5,2,12,10,5,2,6,5,12,4,46,0.34157,23,,,,49,-0.25751,
31860,"2014-03-28 10:37:21","Male","Yes","White - British","","50-54 years","Christian (including Church of England, Catholic, Protestant and all other Christian denominations)","","No","United Kingdom","","Master Degree","Senior Expert Biostatistician","Medical Professional","As an applicant for a job outside of my current organisation","1 to 2 years",1800,1.60319,0.45771,"UK General Population",40,5,5,12,11,5,4,6,6,12,9,98,0.76776,35,,,,69,1.39136,
10169,"2012-10-13 14:15:58","Female","Yes","White - British","","16-19 years","Christian (including Church of England, Catholic, Protestant and all other Christian denominations)","","No","United Kingdom","","A-Level Scottish Highers or equivalent","Student","Student","As an applicant for a job outside of my current organisation","16 to 20 years",851,-0.13307,0.16576,"Graduates",40,5,3,12,7,5,2,6,4,12,9,36,-0.37644,25,,,,47,-0.16315,
33344,"2014-07-20 14:13:06","Female","Yes","Asian or Asian British - Bangladeshi","","20-24 years","Muslim","","No","United Kingdom","","Other","Legal Ombudsman Investigator","Other","As an applicant for a job outside of my current organisation","1 to 2 years",1800,0.328,0.2094,"UK General Population",40,5,3,12,4,5,3,6,5,12,9,7,-1.59027,24,,,,35,-1.1647,
985,"2012-02-10 16:52:53","Female","Yes","White - British","","16-19 years","No religion","","No","United Kingdom","","A-Level Scottish Highers or equivalent","Student","Student","As an applicant for a job outside of my current organisation","Less than 1 year",1800,1.44033,0.27252,"Hogan Lovells Graduates",40,5,4,12,11,5,5,6,5,12,7,76,0.99437,32,,,,56,1.19322,
9721,"2012-11-14 14:53:19","Male","Yes","White - British","","20-24 years","No religion","","No","United Kingdom","","BA","~ ","Financial Analyst","As an applicant for a job outside of my current organisation","Less than 1 year",1800,1.62387,0.88529,"Graduates",40,5,4,12,11,5,5,6,5,12,10,93,0.60963,35,,,,63,1.32574,
13618,"2013-08-15 21:04:22","Prefer not to say","Prefer not to say","Other ethnic group, please specify below","","Prefer not to say","Christian (including Church of England, Catholic, Protestant and all other Christian denominations)","","No","Prefer not to say","","Prefer not to say","p n t s","Prefer not to say","None of the above","Prefer not to say",1394,0.04198,0.24741,"Graduates",40,5,2,12,7,5,5,6,2,12,8,40,-0.33072,24,,,,48,-0.05397,
27967,"2014-12-09 22:43:03","Male","","Asian or Asian British - Indian","","50-54 years","Hindu","","No","","","Higher Education Certificate or Diploma","Web and Secure Mobile Service Assurance Manager – Barclays Digital Banking","Information Technology Professional","As an applicant for a job outside of my current organisation","3 to 4 years",1751,-0.54022,-0.45801,"Managers",40,5,4,12,7,5,1,6,3,12,7,40,0.0886,22,,,,48,-0.16592,
9260,"2012-09-04 20:20:50","Female","Yes","White - British","","20-24 years","Christian (including Church of England, Catholic, Protestant and all other Christian denominations)","","No","United Kingdom","","LLB","Business Support Officer","Administrative/Clerical","As an applicant for a job outside of my current organisation","1 to 2 years",1135,1.2077,0.14666,"UK General Population",40,5,3,12,11,5,4,6,6,12,8,90,1.02586,32,,,,63,0.94575,
13191,"2012-10-30 19:49:25","Female","Yes","White - British","","50-54 years","Christian (including Church of England, Catholic, Protestant and all other Christian denominations)","","No","England","","Higher Education Certificate or Diploma","Technical underwriter","Other","As an applicant for a job outside of my current organisation","3 to 4 years",1800,0.32524,-2.01951,"UK General Population",28,5,1,12,10,5,5,6,5,0,0,38,0.57786,21,,,,47,-0.38103,
12570,"2013-09-24 12:55:33","Male","Yes","Asian or Asian British - Indian","","20-24 years","Hindu","","No","United Kingdom","","BA","Student","Student","As an applicant for a job outside of my current organisation","16 to 20 years",1474,0.54137,1.39368,"UK General Population",40,5,4,12,10,5,4,6,4,12,11,90,0.44591,33,,,,63,0.96847,
6686,"2012-03-05 13:21:40","Male","Yes","White - British","","40-44 years","Christian (including Church of England, Catholic, Protestant and all other Christian denominations)","","No","United Kingdom","","Higher Education Certificate or Diploma","Divisional Security Manager","Other","As an applicant for a job in my current organisation","1 to 2 years",1795,-0.06645,-0.50312,"Senior Management",40,5,3,12,10,5,2,6,5,12,4,43,0.74422,24,,,,49,0.23443,
29272,"2014-02-01 09:20:15","Female","Yes","White - British","","30-34 years","No religion","","No","United Kingdom","","BA","Trainee Solicitor","Legal Professional","As an applicant for a job outside of my current organisation","5 to 7 years",1295,1.27225,0.66724,"Managers",40,5,5,12,11,5,5,6,5,12,10,96,1.27222,36,,,,64,1.49635,
33207,"2014-07-10 15:29:30","Female","Yes","Asian or Asian British - Pakistani","","20-24 years","Muslim","","No","United Kingdom","","LLB","Student","Student","As an applicant for a job outside of my current organisation","3 to 4 years",1346,-0.20793,-1.26429,"UK General Population",40,5,2,12,11,5,4,6,4,12,6,50,0.61625,27,,,,50,-0.21361,
51891,"2015-08-18 04:35:05","","","","","","","","","","","Higher Education Certificate or Diploma","Event & Programme Exec","Marketing Professional","As an applicant for a job in my current organisation","Less than 1 year",230,-1.2189,-1.34829,"Singapore General Population",40,5,2,12,5,5,3,6,2,12,5,3,-1.31142,17,,,,29,-1.82706,
41474,"2014-11-18 17:08:51","Male","Yes","White - British","","16-19 years","No religion","","No","United Kingdom","","A-Level Scottish Highers or equivalent","Student","Student","As an applicant for a job outside of my current organisation","1 to 2 years",1309,0.15185,0.64944,"Bank of England Graduate & Internship Applicants 2014",40,5,3,12,8,5,4,6,4,12,9,44,-0.27399,28,,,,49,0.15618,
34038,"2014-04-17 16:48:12","Female","Yes","White - British","","25-29 years","Christian (including Church of England, Catholic, Protestant and all other Christian denominations)","","No","United Kingdom","","BA","Department Manager","Retail Sales","As an applicant for a job in my current organisation","5 to 7 years",1226,0.78993,-0.32756,"Managers",40,5,3,12,8,5,5,6,5,12,7,60,0.36428,28,,,,53,0.33725,
3165,"2014-10-26 12:45:13","Female","Yes","Asian or Asian British - Indian","","16-19 years","Hindu","","","United Kingdom","","A-Level Scottish Highers or equivalent","~","Student","None of the above","1 to 2 years",1800,0.93589,0.48445,"Hogan Lovells Graduates",40,5,3,12,8,5,5,6,5,12,9,33,0.05456,30,,,,45,0.77148,
21374,"2013-11-10 19:17:02","Male","Yes","Asian or Asian British - Indian","","20-24 years","Hindu","","No","United Kingdom","","A-Level Scottish Highers or equivalent","Economic Analyst","Student","As an applicant for a job in my current organisation","1 to 2 years",1769,-0.34958,-0.69181,"Bank of England Graduate & Internship Applicants 2013",40,5,3,12,8,5,3,6,4,12,6,12,-0.56316,24,,,,39,-0.63922,
47753,"2015-02-24 11:56:32","Male","Yes","Mixed - White and Asian","","25-29 years","Prefer not to say","","Prefer not to say","Malaysia","","Master Degree","n/a","Financial Analyst","As an applicant for a job outside of my current organisation","Less than 1 year",1598,0.48393,1.28369,"Graduates",40,5,4,12,10,5,4,6,4,12,10,87,0.52222,32,,,,61,1.17563,
48954,"2015-04-07 09:58:52","Male","Yes","Asian or Asian British - Chinese","","50-54 years","No religion","","No","Malaysia","","Master Degree","VP Ball Bonder Business Line","Marketing Professional","For professional development","8 to 10 years",1535,-0.34986,-0.97426,"Senior Management",40,5,2,12,4,5,3,6,4,12,3,7,-0.9323,16,,,,32,-0.95872,
34783,"2014-06-06 16:03:58","Male","Yes","White - Irish","","50-54 years","Christian (including Church of England, Catholic, Protestant and all other Christian denominations)","","No","Ireland","","Master Degree","Head of Customer Accounts & Cash Operations","Other","As an applicant for a job in my current organisation","5 to 7 years",1248,-0.23751,-0.31493,"Senior Management",40,5,4,12,8,5,3,6,3,12,6,21,-0.31885,24,,,,42,-0.33486,
46,"2015-07-22 16:45:32","Prefer not to say","Prefer not to say","Prefer not to say","","Prefer not to say","Prefer not to say","","Prefer not to say","Prefer not to say","","Prefer not to say"," ","Prefer not to say","As part of a trial","Prefer not to say",1340,1.38646,0.91139,"UK General Population",40,5,5,12,10,5,4,6,6,12,10,98,0.82192,35,,,,71,1.45818,
33108,"2014-07-15 16:30:24","Male","Yes","Black or Black British - Caribbean","","25-29 years","No religion","","No","United Kingdom","","Higher Education Certificate or Diploma","support worker","Other","None of the above","1 to 2 years",1720,-0.53011,-0.53358,"UK General Population",40,5,4,12,2,5,2,6,4,12,5,1,-1.79473,17,,,,25,-1.55584,
48051,"2015-03-14 10:40:32","Female","Yes","White - British","","20-24 years","Christian (including Church of England, Catholic, Protestant and all other Christian denominations)","","No","United Kingdom","","LLB","Student","Student","As an applicant for a job outside of my current organisation","Prefer not to say",1062,1.70848,0.194,"UK General Population",40,5,5,12,11,5,5,6,5,12,7,96,1.03343,33,,,,67,1.20603,
22557,"2013-11-16 09:41:26","Male","Yes","White - British","","20-24 years","Christian (including Church of England, Catholic, Protestant and all other Christian denominations)","","No","United Kingdom","","BA","Finance and Economics Internship","Student","For professional development","3 to 4 years",1780,0.69981,-0.8229,"Bank of England Graduate & Internship Applicants 2013",40,5,3,12,8,5,5,6,4,12,4,38,0.06187,24,,,,47,-0.01052,
25435,"2015-01-06 15:16:05","Female","Yes","White - British","","20-24 years","Christian (including Church of England, Catholic, Protestant and all other Christian denominations)","","No","United Kingdom","","A-Level Scottish Highers or equivalent","Actuarial Reserving Internship","Student","As an applicant for a job outside of my current organisation","1 to 2 years",1800,0.52871,1.2004,"Graduates",40,5,4,12,9,5,3,6,4,12,10,84,0.33321,30,,,,59,0.92906,
22577,"2013-11-15 16:29:14","Female","No","White - Any other White Background","","20-24 years","No religion","","No","Belgium","","BSc","prudential policy graduate position","Student","As an applicant for a job outside of my current organisation","3 to 4 years",1799,0.0317,0.86062,"Bank of England Graduate & Internship Applicants 2013",40,5,3,12,9,5,2,6,5,12,9,62,0.22391,28,,,,53,0.42653,
17155,"2013-03-03 18:40:52","Male","Yes","Asian or Asian British - Indian","","40-44 years","Sikh","","No","United Kingdom","","Master Degree","Solicitor","Legal Professional","As an applicant for a job outside of my current organisation","1 to 2 years",1716,-0.74358,-0.07585,"UK General Population",40,5,1,12,8,5,1,6,5,12,8,34,-0.41978,23,,,,46,-0.48591,
42924,"2014-11-10 15:21:29","Male","Yes","White - British","","50-54 years","No religion","","No","United Kingdom","","Master Degree","Fitness to Practise Panel Members","Transportation Trades","As an applicant for a job outside of my current organisation","26 years or more",1800,-0.42016,-2.05169,"UK General Population",28,5,4,12,9,5,4,6,3,0,0,5,-0.14123,20,,,,34,-1.25141,
33144,"2014-03-31 19:26:44","Female","Yes","White - British","","35-39 years","No religion","","No","United Kingdom","","BA","Assessor","Student","As an applicant for a job outside of my current organisation","5 to 7 years",1650,0.1079,-0.3312,"UK General Population",40,5,2,12,4,5,4,6,5,12,6,4,-1.64555,21,,,,32,-1.31509,
57184,"2016-03-10 20:57:53","Male","Yes","White - British","","45-49 years","No religion","","No","United Kingdom","","Master Degree","Teacher of English","Teacher","As an applicant for a job in my current organisation","5 to 7 years",1801,0.1962,0.63364,"UK General Population",40,5,3,12,12,5,2,6,5,12,8,86,1.37176,30,,,,61,0.85715,
2751,"2014-02-13 22:02:32","Male","Yes","Asian or Asian British - Chinese","","16-19 years","No religion","","No","Hong Kong","","A-Level Scottish Highers or equivalent","Mr.","Student","As an applicant for a job outside of my current organisation","16 to 20 years",843,-0.70628,0.16441,"Hogan Lovells Graduates",40,5,3,12,6,5,4,6,2,12,7,2,-0.7532,22,,,,26,-0.79256,
18222,"2013-05-13 09:45:21","Prefer not to say","Prefer not to say","Prefer not to say","","Prefer not to say","Prefer not to say","","Prefer not to say","Prefer not to say","","Other","Trainee Solicitor","Information Technology Professional","As part of a trial","8 to 10 years",1383,0.15022,-0.10365,"UK General Population",40,5,2,12,12,5,3,6,4,12,6,76,1.0382,27,,,,57,0.48254,
43595,"2014-11-14 13:54:40","Female","Yes","White - British","","25-29 years","Christian (including Church of England, Catholic, Protestant and all other Christian denominations)","","No","United Kingdom","","A-Level Scottish Highers or equivalent","Dental Nurse","Medical Professional","As an applicant for a job outside of my current organisation","5 to 7 years",1263,-0.78427,-1.10358,"UK General Population",40,5,1,12,6,5,4,6,3,12,3,3,-1.12205,17,,,,30,-1.35503,
29893,"2014-03-22 12:38:01","Male","Yes","White - Any other White Background","South African","55-59 years","Christian (including Church of England, Catholic, Protestant and all other Christian denominations)","","No","South Africa","","BSc","Programme manager","Information Technology Professional","As an applicant for a job outside of my current organisation","16 to 20 years",1784,0.22892,0.01864,"Senior Management",40,5,2,12,7,5,5,6,3,12,8,26,-0.48807,25,,,,44,-0.18134,
16201,"2013-03-03 15:39:28","Male","Yes","Other ethnic group, please specify below","British Sikh","25-29 years","Sikh","","No","United Kingdom","","Doctoral Degree","Associate Dentist","Medical Professional","As an applicant for a job in my current organisation","3 to 4 years",1800,0.19747,-1.44312,"UK General Population",31,5,3,12,10,5,3,6,4,3,3,42,0.02578,23,,,,48,-0.34478,
