"ID","EndTime","Sex","Is.English.your.primary.language.","Ethnic.group","Other.ethnic.group","Age..Range.in.years.","What.is.your.religion.","Other.religion","Do.you.consider.yourself.to.have.a.disability..If.yes..please.select.from.the.options.which.best.describes.your.disability...br...Please.note..The.information.you.provide.here.may.not.be.shared.with.the.organisation.that.asked.you.to.take.the.test..If.you.wish.them.to.be.aware.of.your.disability.you.should.contact.them.directly.","Country.of.birth","Other.country.of.birth","PD_Education","PD_JobTitle","PD_Occupation","PD_Reason","PD_Tenure","TimeTaken","wgcta.d.theta.score","wgcta.e.theta.score","wgcta.norm.group","wgcta.other.num.answered","wgcta.other.s1.num.answered","wgcta.other.s1.raw.score","wgcta.other.s2.num.answered","wgcta.other.s2.raw.score","wgcta.other.s3.num.answered","wgcta.other.s3.raw.score","wgcta.other.s4.num.answered","wgcta.other.s4.raw.score","wgcta.other.s5.num.answered","wgcta.other.s5.raw.score","wgcta.percentile","wgcta.r.theta.score","wgcta.raw.score","wgcta.retest.completion.status","wgcta.retest.status","wgcta.retest.surveyuser.id","wgcta.t.score","wgcta.theta.score","wgcta.verification.theta"
10074,"2012-11-15 15:57:03","Female","No","Asian or Asian British - Pakistani","","20-24 years","Muslim","","No","Pakistan","","A-Level Scottish Highers or equivalent","Student","Student","As an applicant for a job outside of my current organisation","11 to 15 years",1802,-0.24698,-0.35599,"Graduates",40,5,1,12,10,5,3,6,6,12,6,44,0.66385,26,,,,49,0.05826,
24290,"2013-10-25 18:43:13","Female","Yes","White - British","","20-24 years","Christian (including Church of England, Catholic, Protestant and all other Christian denominations)","","No","Hong Kong","","A-Level Scottish Highers or equivalent","Vacation Scheme","Student","As an applicant for a job outside of my current organisation","3 to 4 years",1800,-0.20885,0.53351,"Graduates",40,5,2,12,10,5,2,6,4,12,10,53,0.20388,28,,,,51,0.22928,
16053,"2013-03-20 20:53:47","Male","Yes","Asian or Asian British - Indian","","45-49 years","No religion","","No","United Kingdom","","BA","Senior Lawyer","Legal Professional","As an applicant for a job outside of my current organisation","5 to 7 years",1630,0.62764,-0.22621,"UK General Population",40,5,5,12,9,5,4,6,3,12,7,62,0.02304,28,,,,53,0.17406,
9960,"2012-10-09 14:57:05","Male","Yes","White - British","","20-24 years","Christian (including Church of England, Catholic, Protestant and all other Christian denominations)","","No","United Kingdom","","BA","n/a","Student","As an applicant for a job outside of my current organisation","16 to 20 years",1082,0.26087,-0.35855,"Graduates",40,5,5,12,8,5,5,6,2,12,6,36,-0.18905,26,,,,47,-0.20987,
56167,"2016-02-21 19:46:49","Female","Yes","Black or Black British - Caribbean","","25-29 years","Prefer not to say","","Dyslexia","United Kingdom","","Master Degree","Social Worker","Other","As an applicant for a job outside of my current organisation","1 to 2 years",1721,-0.58936,0.25829,"UK General Population",39,5,2,12,1,5,4,6,3,11,8,1,-1.95043,18,,,,25,-1.77583,
5876,"2011-12-22 10:56:45","Female","Yes","White - British","","65-69 years","Christian (including Church of England, Catholic, Protestant and all other Christian denominations)","","","United Kingdom","","Other","Specialist Member Mental Health Tribunal Service","Other","As an applicant for a job outside of my current organisation","8 to 10 years",1800,0.3773,-0.21674,"Public Sector Managers",40,5,4,12,8,5,3,6,5,12,4,42,-0.30258,24,,,,48,-0.04237,
41839,"2014-11-24 00:21:21","Female","No","White - Any other White Background","","25-29 years","No religion","","No","Romania","","Master Degree","Faculty and Information Administrator","Information Technology Professional","As an applicant for a job outside of my current organisation","Less than 1 year",1800,-0.1524,-1.61918,"Bank of England Graduate & Internship Applicants 2014",28,5,4,12,7,5,3,6,4,0,0,9,-0.0489,18,,,,37,-0.67995,
44277,"2014-11-06 21:13:51","Female","Yes","White - British","","35-39 years","Christian (including Church of England, Catholic, Protestant and all other Christian denominations)","","Dyslexia","United Kingdom","","LLB","Head of Digital Media","Other","As an applicant for a job in my current organisation","11 to 15 years",1688,2.10469,-0.13234,"UK General Population",40,5,5,12,12,5,5,6,6,12,8,98,1.34483,36,,,,71,1.49294,
18934,"2013-06-27 12:07:33","Male","Yes","White - British","","45-49 years","No religion","","No","United Kingdom","","BA","Head of Community Safety Services","Other","As an applicant for a job in my current organisation","16 to 20 years",900,0.72608,0.17194,"Senior Management",40,5,5,12,10,5,4,6,3,12,9,62,0.75131,31,,,,54,0.69267,
50178,"2015-07-05 11:59:11","Male","Yes","White - British","","50-54 years","No religion","","No","United Kingdom","","Master Degree","Director of Communications","Marketing Professional","As an applicant for a job outside of my current organisation","26 years or more",1577,0.76484,-0.02019,"Senior Management",40,5,2,12,10,5,5,6,4,12,9,62,0.77151,30,,,,54,0.68195,
51131,"2015-08-22 13:52:53","Female","No","White - Any other White Background","","30-34 years","No religion","","No","Czech Republic","","LLB","Legal Administration Controller","Administrative/Clerical","As an applicant for a job outside of my current organisation","3 to 4 years",1399,0.17409,0.62423,"UK General Population",40,5,2,12,8,5,4,6,5,12,8,66,0.01079,27,,,,54,0.22526,
56492,"2016-02-23 11:09:02","Male","No","Black or Black British - African","","40-44 years","Muslim","","No","Other, please specify below","SENEGAL","Master Degree","Assistant Principal","Teacher","As an applicant for a job outside of my current organisation","3 to 4 years",0,-0.05055,-0.66583,"Managers",40,5,2,12,6,5,3,6,5,12,5,8,-1.35166,21,,,,35,-1.11977,
29576,"2014-02-11 12:56:37","Male","Yes","White - British","","20-24 years","Christian (including Church of England, Catholic, Protestant and all other Christian denominations)","","No","United Kingdom","","A-Level Scottish Highers or equivalent","","Student","As an applicant for a job outside of my current organisation","1 to 2 years",1800,0.72172,0.88458,"Executive Search candidates (UK)",40,5,3,12,11,5,4,6,6,12,10,77,0.57953,34,,,,58,1.03919,
13446,"2012-11-19 07:35:04","Male","Yes","Other ethnic group, please specify below","Iranian","25-29 years","No religion","","No","United Kingdom","","Master Degree","Training Contract","Consultant","As an applicant for a job outside of my current organisation","1 to 2 years",1808,0.64309,-0.24323,"UK General Population",40,5,4,12,12,5,5,6,4,12,7,86,1.25299,32,,,,61,0.83389,
12408,"2013-03-25 19:23:11","Male","Yes","White - British","","20-24 years","Christian (including Church of England, Catholic, Protestant and all other Christian denominations)","","No","United Kingdom","","BA","Paralegal","Legal Professional","As an applicant for a job outside of my current organisation","Less than 1 year",1542,1.4896,0.00831,"UK General Population",40,5,4,12,11,5,5,6,5,12,7,86,0.66252,32,,,,61,0.89823,
44520,"2014-11-03 13:02:02","Female","No","Asian or Asian British - Chinese","","20-24 years","Buddhist","","No","Malaysia","","BSc","graduate engineer","New to Workforce","As an applicant for a job outside of my current organisation","Less than 1 year",1600,0.10965,-0.23486,"Singapore General Population 2014",40,5,2,12,7,5,5,6,4,12,6,63,-0.22248,24,,,,53,-0.13307,
39079,"2014-09-23 23:10:40","Male","Yes","White - British","","45-49 years","Christian (including Church of England, Catholic, Protestant and all other Christian denominations)","","No","United Kingdom","","Higher Education Certificate or Diploma","Head of Estates & Business Services","Other","As an applicant for a job in my current organisation","26 years or more",1714,0.12284,-0.64531,"Senior Management",40,5,2,12,11,5,3,6,5,12,5,43,1.15666,26,,,,49,0.25643,
55632,"2016-02-09 11:40:20","Female","Yes","Black or Black British - Caribbean","","40-44 years","Christian (including Church of England, Catholic, Protestant and all other Christian denominations)","","No","United Kingdom","","Master Degree","Lawyer","Legal Professional","As an applicant for a job outside of my current organisation","11 to 15 years",1799,0.40921,0.03151,"Managers",40,5,4,12,11,5,4,6,5,12,7,78,0.91684,31,,,,58,0.72708,
42978,"2014-11-19 11:56:27","Female","Yes","White - British","","45-49 years","Christian (including Church of England, Catholic, Protestant and all other Christian denominations)","","No","United Kingdom","","Higher Education Certificate or Diploma","Military Civilian Integration SO2","Other","As an applicant for a job outside of my current organisation","21 to 25 years",1662,-0.29311,-0.95472,"UK General Population",37,5,1,10,3,4,3,6,4,12,4,8,-1.16914,15,,,,36,-1.09387,
2497,"2013-11-19 17:00:32","Female","Yes","White - British","","20-24 years","No religion","","No","United Kingdom","","A-Level Scottish Highers or equivalent","Student","Student","As an applicant for a job outside of my current organisation","1 to 2 years",1788,0.99488,1.35362,"Hogan Lovells Graduates",40,5,5,12,11,5,4,6,5,12,10,88,1.05215,35,,,,61,1.5646,
21100,"2013-11-03 00:05:29","Male","Yes","White - British","","16-19 years","No religion","","No","United Kingdom","","A-Level Scottish Highers or equivalent","Student","Student","As an applicant for a job outside of my current organisation","1 to 2 years",1578,0.9612,1.52545,"Bank of England Graduate & Internship Applicants 2013",40,5,2,12,11,5,4,6,6,12,11,96,0.8828,34,,,,67,1.42841,
37828,"2014-08-10 15:34:14","Female","Yes","White - British","","25-29 years","No religion","","No","United Kingdom","","LLB","Temp. Waitress","Prefer not to say","As an applicant for a job outside of my current organisation","Prefer not to say",1797,0.61717,1.11795,"UK Public Sector Graduates",40,5,4,12,8,5,4,6,5,12,9,60,-0.28904,30,,,,53,0.45182,
20194,"2013-08-27 13:07:50","Male","","Other ethnic group, please specify below","Arab","25-29 years","Muslim","","No","","","Master Degree","Paralegal","Legal Professional","As an applicant for a job in my current organisation","Less than 1 year",1697,1.00284,-1.30094,"Graduates in Law, Business, Economic or Finance",40,5,5,12,10,5,4,6,4,12,4,38,0.04941,27,,,,47,-0.23401,
10629,"2012-11-07 14:57:34","Female","Yes","White - British","","20-24 years","No religion","","No","United States of America","","BSc","Merchandiser","Retail Sales","As an applicant for a job outside of my current organisation","Less than 1 year",1355,0.00713,-0.38484,"Graduates",40,5,4,12,10,5,4,6,3,12,8,44,0.20634,29,,,,49,-0.02871,
19186,"2014-02-09 10:46:13","Male","Yes","White - British","","45-49 years","Prefer not to say","","No","United Kingdom","","Master Degree","Organisation Development Consultant","Consultant","For professional development","3 to 4 years",1266,0.82404,-0.21488,"UK General Population",40,5,4,12,9,5,5,6,4,12,6,82,0.66176,28,,,,59,0.62864,
43256,"2014-11-19 20:19:18","Male","Yes","White - British","","40-44 years","Christian (including Church of England, Catholic, Protestant and all other Christian denominations)","","No","United Kingdom","","Master Degree","dental surgeon","Medical Professional","As an applicant for a job outside of my current organisation","21 to 25 years",1721,-0.0028,0.07751,"UK General Population",40,5,4,12,10,5,4,6,3,12,7,76,0.63578,28,,,,57,0.46835,
51973,"2015-10-08 16:04:03","Male","Yes","White - British","","25-29 years","No religion","","No","United Kingdom","","Higher Education Certificate or Diploma","trainee engineer","Student","As part of a trial","1 to 2 years",1372,-0.8731,-1.06018,"UK General Population",40,5,3,12,9,5,4,6,2,12,5,16,0.22436,23,,,,40,-0.83421,
27611,"2013-12-08 17:12:18","Male","Yes","White - British","","55-59 years","Christian (including Church of England, Catholic, Protestant and all other Christian denominations)","","No","Wales","","BEd","Managing Director","Other","As an applicant for a job outside of my current organisation","26 years or more",1727,0.86584,0.52841,"UK General Population",40,5,3,12,10,5,4,6,5,12,8,84,0.30783,30,,,,60,0.74957,
1379,"2012-08-05 15:51:18","Male","Yes","Asian or Asian British - Chinese","","20-24 years","Christian (including Church of England, Catholic, Protestant and all other Christian denominations)","","No","Singapore","","LLB","Student","Student","As an applicant for a job outside of my current organisation","1 to 2 years",1687,2.27618,0.68421,"Hogan Lovells Graduates",40,5,5,12,10,5,5,6,6,12,8,88,0.67331,34,,,,61,1.55952,
55807,"2016-02-09 13:44:19","Female","","Mixed - Any other Mixed Background","","25-29 years","Sikh","","No","","","LLB","HMRC lawyer","Legal Professional","As an applicant for a job outside of my current organisation","1 to 2 years",1213,-0.31792,-0.21417,"Managers",40,5,1,12,7,5,4,6,3,12,6,40,0.01076,21,,,,48,-0.12218,
40738,"2014-11-17 11:58:48","Female","Yes","White - British","","20-24 years","No religion","","No","United Kingdom","","A-Level Scottish Highers or equivalent","Student","Student","As an applicant for a job outside of my current organisation","3 to 4 years",1544,0.65036,1.28825,"Bank of England Graduate & Internship Applicants 2014",40,5,4,12,12,5,4,6,5,12,10,98,1.46059,35,,,,71,1.71527,
22317,"2013-11-18 01:58:19","Male","Yes","White - British","","20-24 years","No religion","","No","United Kingdom","","A-Level Scottish Highers or equivalent","Student","Student","As an applicant for a job outside of my current organisation","1 to 2 years",1800,0.47308,0.53564,"Bank of England Graduate & Internship Applicants 2013",40,5,3,12,12,5,4,6,4,12,9,90,1.3371,32,,,,62,1.08649,
17387,"2013-03-25 16:23:11","Male","Yes","White - British","","25-29 years","No religion","","No","United Kingdom","","GCSE equivalent","business development manager","Other","As an applicant for a job in my current organisation","3 to 4 years",1763,0.1152,0.25865,"UK General Population",40,5,3,12,9,5,3,6,4,12,8,73,0.24632,27,,,,56,0.28509,
10849,"2012-11-15 18:29:12","Male","Yes","White - British","","20-24 years","Christian (including Church of England, Catholic, Protestant and all other Christian denominations)","","No","United Kingdom","","Master Degree","Bank of England Postgraduate ","Student","As an applicant for a job outside of my current organisation","5 to 7 years",1505,0.40996,-0.07287,"Graduates",40,5,5,12,10,5,2,6,4,12,6,62,0.3101,27,,,,54,0.38789,
32476,"2014-04-17 10:44:28","Female","Yes","White - British","","50-54 years","No religion","","No","United Kingdom","","BSc","Mediator/assessor","Other","As an applicant for a job outside of my current organisation","8 to 10 years",1800,0.50214,-0.06509,"UK General Population",40,5,4,12,10,5,5,6,3,12,7,79,0.7102,29,,,,58,0.51098,
46027,"2014-12-04 07:30:42","Male","Yes","White - Any other White Background","","25-29 years","Christian (including Church of England, Catholic, Protestant and all other Christian denominations)","","No","New Zealand","","Other","Manager","Accountant","As an applicant for a job in my current organisation","5 to 7 years",1780,0.31855,0.49634,"Executive Search candidates (UK)",39,5,4,12,12,4,2,6,5,12,9,84,1.44602,32,,,,59,1.06348,
22732,"2014-03-08 21:04:11","Male","Yes","White - British","","16-19 years","Christian (including Church of England, Catholic, Protestant and all other Christian denominations)","","No","United Kingdom","","A-Level Scottish Highers or equivalent","first year undergraduate at University of Leeds","Student","As an applicant for a job outside of my current organisation","Less than 1 year",1121,0.0889,0.36818,"Bank of England Graduate & Internship Applicants 2013",40,5,2,12,7,5,4,6,6,12,8,42,-0.2548,27,,,,48,0.06391,
33670,"2014-03-30 23:47:08","Male","Yes","Asian or Asian British - Pakistani","","25-29 years","Muslim","","No","United Kingdom","","LLB","Assessor","Administrative/Clerical","As an applicant for a job outside of my current organisation","1 to 2 years",944,0.22637,-0.16625,"UK General Population",40,5,3,12,9,5,3,6,5,12,7,62,0.0502,27,,,,53,0.09729,
54131,"2015-11-27 11:38:13","Male","No","White - Any other White Background","","20-24 years","Christian (including Church of England, Catholic, Protestant and all other Christian denominations)","","No","Cyprus","","GCSE or equivalent","Student","Student","As an applicant for a job outside of my current organisation","1 to 2 years",1801,-0.14298,1.08037,"UK General Population",40,5,2,12,9,5,4,6,4,12,11,66,-0.00699,30,,,,54,0.24653,
19507,"2013-08-14 10:51:02","Male","No","White - Any other White Background","Russian","25-29 years","No religion","","No","Estonia","","Master Degree","N/A","Student","As an applicant for a job outside of my current organisation","Prefer not to say",990,0.50928,1.09902,"UK Public Sector Graduates",40,5,5,12,12,5,3,6,5,12,11,87,1.20441,36,,,,60,1.09639,
20384,"2014-01-15 23:35:35","","","","","","","","","","","Prefer not to say","student ","Student","As an applicant for a job in my current organisation","Prefer not to say",1800,-1.48324,1.30435,"Graduates",40,5,5,12,10,5,1,6,2,12,11,30,0.33518,29,,,,45,-0.32262,
1676,"2012-11-29 19:17:04","Male","Yes","White - Any other White Background","","20-24 years","Christian (including Church of England, Catholic, Protestant and all other Christian denominations)","","No","United Kingdom","","BA","Student","Student","As an applicant for a job outside of my current organisation","Less than 1 year",1799,1.8287,-0.05769,"Hogan Lovells Graduates",40,5,4,12,10,5,5,6,6,12,9,33,0.37989,34,,,,45,0.73498,
